"tourney_id","tourney_year","tourney_order","tourney_name","tourney_slug","tourney_location","tourney_dates","tourney_month","tourney_day","tourney_singles_draw","tourney_doubles_draw","tourney_conditions","tourney_surface","tourney_fin_commit","tourney_url_suffix","singles_winner_name","singles_winner_url","singles_winner_player_slug","singles_winner_player_id","doubles_winner_1_name","doubles_winner_1_url","doubles_winner_1_player_slug","doubles_winner_1_player_id","doubles_winner_2_name","doubles_winner_2_url","doubles_winner_2_player_slug","doubles_winner_2_player_id","tourney_year_id","tourney_lat","tourney_long"
301,2017,5,"ASB Classic","auckland","Auckland, New Zealand","2017.01.09",1,9,28,28,"Outdoor","Hard-Outdoor","$508,360","/en/scores/archive/auckland/301/2017/results","Jack Sock","/en/players/jack-sock/sm25/overview","jack-sock","sm25","Marcin Matkowski","/en/players/marcin-matkowski/m844/overview","marcin-matkowski","m844","Aisam-Ul-Haq Qureshi","/en/players/aisam-ul-haq-qureshi/q019/overview","aisam-ul-haq-qureshi","q019","2017-301",-36.8484597,174.7633315
308,2017,28,"BMW Open by FWU","munich","Munich, Germany","2017.05.01",5,1,28,28,"Outdoor","Clay","€540,310","/en/scores/archive/munich/308/2017/results","Alexander Zverev","/en/players/alexander-zverev/z355/overview","alexander-zverev","z355","Juan Sebastian Cabal","/en/players/juan-sebastian-cabal/c834/overview","juan-sebastian-cabal","c834","Robert Farah","/en/players/robert-farah/f525/overview","robert-farah","f525","2017-308",48.1351253,11.5819805
311,2017,37,"Aegon Championships","london","London, Great Britain","2017.06.19",6,19,32,32,"Outdoor","Grass","€1,966,095","/en/scores/archive/london/311/2017/results","Feliciano Lopez","/en/players/feliciano-lopez/l397/overview","feliciano-lopez","l397","Jamie Murray","/en/players/jamie-murray/mc81/overview","jamie-murray","mc81","Bruno Soares","/en/players/bruno-soares/s938/overview","bruno-soares","s938","2017-311",51.5073509,-0.1277583
314,2017,45,"J. Safra Sarasin Swiss Open Gstaad","gstaad","Gstaad, Switzerland","2017.07.24",7,24,28,28,"Outdoor","Clay","€540,310","/en/scores/archive/gstaad/314/2017/results","Fabio Fognini","/en/players/fabio-fognini/f510/overview","fabio-fognini","f510","Oliver Marach","/en/players/oliver-marach/m760/overview","oliver-marach","m760","Philipp Oswald","/en/players/philipp-oswald/o305/overview","philipp-oswald","o305","2017-314",46.4717588,7.2865728
315,2017,42,"Dell Technologies Hall of Fame Open","newport","Newport, United States","2017.07.17",7,17,28,28,"Outdoor","Grass","$600,345","/en/scores/archive/newport/315/2017/results","John Isner","/en/players/john-isner/i186/overview","john-isner","i186","Aisam-Ul-Haq Qureshi","/en/players/aisam-ul-haq-qureshi/q019/overview","aisam-ul-haq-qureshi","q019","Rajeev Ram","/en/players/rajeev-ram/r548/overview","rajeev-ram","r548","2017-315",41.4901024,-71.3128285
316,2017,41,"SkiStar Swedish Open","bastad","Bastad, Sweden","2017.07.17",7,17,28,28,"Outdoor","Clay","€540,310","/en/scores/archive/bastad/316/2017/results","David Ferrer","/en/players/david-ferrer/f401/overview","david-ferrer","f401","Julian Knowle","/en/players/julian-knowle/k263/overview","julian-knowle","k263","Philipp Petzschner","/en/players/philipp-petzschner/p624/overview","philipp-petzschner","p624","2017-316",56.4273888,12.8477217
319,2017,47,"Generali Open","kitzbuhel","Kitzbuhel, Austria","2017.07.31",7,31,28,28,"Outdoor","Clay","€540,310","/en/scores/archive/kitzbuhel/319/2017/results","Philipp Kohlschreiber","/en/players/philipp-kohlschreiber/k435/overview","philipp-kohlschreiber","k435","Pablo Cuevas","/en/players/pablo-cuevas/c882/overview","pablo-cuevas","c882","Guillermo Duran","/en/players/guillermo-duran/d787/overview","guillermo-duran","d787","2017-319",47.4492375,12.3925407
321,2017,35,"Mercedes Cup","stuttgart","Stuttgart, Germany","2017.06.12",6,12,28,28,"Outdoor","Grass","€701,975","/en/scores/archive/stuttgart/321/2017/results","Lucas Pouille","/en/players/lucas-pouille/pf39/overview","lucas-pouille","pf39","Jamie Murray","/en/players/jamie-murray/mc81/overview","jamie-murray","mc81","Bruno Soares","/en/players/bruno-soares/s938/overview","bruno-soares","s938","2017-321",48.7758459,9.1829321
322,2017,31,"Banque Eric Sturdza Geneva Open","geneva","Geneva, Switzerland","2017.05.21",5,21,28,28,"Outdoor","Clay","€540,310","/en/scores/archive/geneva/322/2017/results","Stan Wawrinka","/en/players/stan-wawrinka/w367/overview","stan-wawrinka","w367","Jean-Julien Rojer","/en/players/jean-julien-rojer/r513/overview","jean-julien-rojer","r513","Horia Tecau","/en/players/horia-tecau/t749/overview","horia-tecau","t749","2017-322",46.2043907,6.1431577
328,2017,64,"Swiss Indoors Basel","basel","Basel, Switzerland","2017.10.23",10,23,32,32,"Indoor","Hard-Indoor","€2,291,860","/en/scores/archive/basel/328/2017/results","Roger Federer","/en/players/roger-federer/f324/overview","roger-federer","f324","Ivan Dodig","/en/players/ivan-dodig/d646/overview","ivan-dodig","d646","Marcel Granollers","/en/players/marcel-granollers/g710/overview","marcel-granollers","g710","2017-328",47.5595986,7.5885761
